FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
Otu002110	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002111	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002112	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified
Otu002113	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002114	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002115	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu002116	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus2
Otu002117	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified
Otu002118	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002119	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002120	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002121	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002122	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified
Otu002123	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002124	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002125	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium
Otu002126	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	unclassified
Otu002127	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified
Otu002128	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002129	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002130	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002131	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu002132	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002133	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002134	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002135	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002136	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002137	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002138	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified
Otu002139	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002140	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002141	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified
Otu002142	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002143	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium
Otu002144	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma
Otu002145	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002146	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002147	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	unclassified
Otu002148	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002149	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified
Otu002150	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium
Otu002151	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002152	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Otu002153	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified
